CodProvincia,Provincia,CodMunicipio,Municipio,Poblacion
01,Araba/Álava,001,Alegría-Dulantzi,2869
01,Araba/Álava,002,Amurrio,10114
01,Araba/Álava,003,Aramaio,1513
01,Araba/Álava,004,Artziniega,1861
01,Araba/Álava,006,Armiñón,231
01,Araba/Álava,008,Arrazua-Ubarrundia,983
01,Araba/Álava,009,Asparrena,1698
01,Araba/Álava,010,Ayala/Aiara,2918
01,Araba/Álava,011,Baños de Ebro/Mañueta,317
01,Araba/Álava,013,Barrundia,908
01,Araba/Álava,014,Berantevilla,480
01,Araba/Álava,016,Bernedo,568
01,Araba/Álava,017,Campezo/Kanpezu,1136
01,Araba/Álava,018,Zigoitia,1747
01,Araba/Álava,019,Kripan,194
01,Araba/Álava,020,Kuartango,358
01,Araba/Álava,021,Elburgo/Burgelu,629
01,Araba/Álava,022,Elciego,1037
01,Araba/Álava,023,Elvillar/Bilar,368
01,Araba/Álava,027,Iruraiz-Gauna,541
01,Araba/Álava,028,Labastida/Bastida,1508
01,Araba/Álava,030,Lagrán,180
01,Araba/Álava,031,Laguardia,1548
01,Araba/Álava,032,Lanciego/Lantziego,685
01,Araba/Álava,033,Lapuebla de Labarca,848
01,Araba/Álava,034,Leza,218
01,Araba/Álava,036,Laudio/Llodio,18498
01,Araba/Álava,037,Arraia-Maeztu,739
01,Araba/Álava,039,Moreda de Álava/Moreda Araba,246
01,Araba/Álava,041,Navaridas,220
01,Araba/Álava,042,Okondo,1157
01,Araba/Álava,043,Oyón-Oion,3305
01,mentira,001,mentira,0
01,Araba/Álava,044,Peñacerrada-Urizaharra,280
01,Araba/Álava,046,Erriberagoitia/Ribera Alta,790
01,Araba/Álava,047,Ribera Baja/Erribera Beitia,1332
01,Araba/Álava,049,Añana,166
01,Araba/Álava,051,Salvatierra/Agurain,4978
01,Araba/Álava,052,Samaniego,331
01,Araba/Álava,053,San Millán/Donemiliaga,719
01,Araba/Álava,054,Urkabustaiz,1350
01,Araba/Álava,055,Valdegovía/Gaubea,1067
01,Araba/Álava,056,Harana/Valle de Arana,278
01,Araba/Álava,057,Villabuena de Álava/Eskuernaga,319
01,Araba/Álava,058,Legutio,1762
01,Araba/Álava,059,Vitoria-Gasteiz,242223
01,Araba/Álava,060,Yécora/Iekora,285
01,Araba/Álava,061,Zalduondo,185
01,Araba/Álava,062,Zambrana,430
01,Araba/Álava,063,Zuia,2439
01,Araba/Álava,901,Iruña Oka/Iruña de Oca,3072
01,Araba/Álava,902,Lantarón,929
02,Albacete,001,Abengibre,888
02,Albacete,002,Alatoz,599
02,Albacete,003,Albacete,172472
02,Albacete,004,Albatana,782
02,Albacete,005,Alborea,849
02,Albacete,006,Alcadozo,723
02,Albacete,007,Alcalá del Júcar,1346
02,Albacete,008,Alcaraz,1597
02,Albacete,009,Almansa,25374
02,Albacete,010,Alpera,2417
02,Albacete,011,Ayna,794
02,Albacete,012,Balazote,2447
02,Albacete,013,Balsa de Ves,191
02,Albacete,014,"Ballestero, El",465
02,Albacete,015,Barrax,2027
02,Albacete,016,Bienservida,712
02,Albacete,017,Bogarra,996
02,Albacete,018,Bonete,1225
02,Albacete,019,"Bonillo, El",3012
02,Albacete,020,Carcelén,639
02,Albacete,021,Casas de Juan Núñez,1441
02,Albacete,022,Casas de Lázaro,446
02,Albacete,023,Casas de Ves,724
02,Albacete,024,Casas-Ibáñez,4843
02,Albacete,025,Caudete,10551
02,Albacete,026,Cenizate,1306
02,Albacete,027,Corral-Rubio,403
02,Albacete,028,Cotillas,157
02,Albacete,029,Chinchilla de Monte-Aragón,4116
02,Albacete,030,Elche de la Sierra,3941
02,Albacete,031,Férez,743
02,Albacete,032,Fuensanta,368
02,Albacete,033,Fuente-Álamo,2649
02,Albacete,034,Fuentealbilla,2013
02,Albacete,035,"Gineta, La",2582
02,Albacete,036,Golosalvo,118
02,Albacete,037,Hellín,31262
02,Albacete,038,"Herrera, La",349
02,Albacete,039,Higueruela,1310
02,Albacete,040,Hoya-Gonzalo,737
02,Albacete,041,Jorquera,431
02,Albacete,042,Letur,1074
02,Albacete,043,Lezuza,1582
02,Albacete,044,Liétor,1388
02,Albacete,045,Madrigueras,4836
02,Albacete,046,Mahora,1431
02,Albacete,047,Masegoso,122
02,Albacete,048,Minaya,1683
02,Albacete,049,Molinicos,1020
02,Albacete,050,Montalvos,124
02,Albacete,051,Montealegre del Castillo,2234
02,Albacete,052,Motilleja,589
02,Albacete,053,Munera,3757
02,Albacete,054,Navas de Jorquera,554
02,Albacete,055,Nerpio,1478
02,Albacete,056,Ontur,2246
02,Albacete,057,Ossa de Montiel,2645
02,Albacete,058,Paterna del Madera,443
02,Albacete,059,Peñascosa,387
02,Albacete,060,Peñas de San Pedro,1360
02,Albacete,061,Pétrola,826
02,Albacete,062,Povedilla,538
02,Albacete,063,Pozohondo,1791
02,Albacete,064,Pozo-Lorente,448
02,Albacete,065,Pozuelo,570
02,Albacete,066,"Recueja, La",308
02,Albacete,067,Riópar,1463
02,Albacete,068,Robledo,456
02,Albacete,069,"Roda, La",16420
02,Albacete,070,Salobre,606
02,Albacete,071,San Pedro,1287
02,Albacete,072,Socovos,1975
02,Albacete,073,Tarazona de la Mancha,6696
02,Albacete,074,Tobarra,8153
02,Albacete,075,Valdeganga,1980
02,Albacete,076,Vianos,400
02,Albacete,077,Villa de Ves,53
02,Albacete,078,Villalgordo del Júcar,1240
02,Albacete,079,Villamalea,4164
02,Albacete,080,Villapalacios,682
02,Albacete,081,Villarrobledo,26583
02,Albacete,082,Villatoya,135
02,Albacete,083,Villavaliente,268
02,Albacete,084,Villaverde de Guadalimar,404
02,Albacete,085,Viveros,356
02,Albacete,086,Yeste,3157
02,Albacete,901,Pozo Cañada,2880
03,Alicante/Alacant,001,Adsubia,749
03,Alicante/Alacant,002,Agost,4791
03,Alicante/Alacant,003,Agres,598
03,Alicante/Alacant,004,Aigües,1105
03,Alicante/Alacant,005,Albatera,11936
03,Alicante/Alacant,006,Alcalalí,1433
03,Alicante/Alacant,007,Alcocer de Planes,233
03,Alicante/Alacant,008,Alcoleja,204
03,Alicante/Alacant,009,Alcoy/Alcoi,60837
03,Alicante/Alacant,010,Alfafara,419
03,Alicante/Alacant,011,"Alfàs del Pi, l'",21964
03,Alicante/Alacant,012,Algorfa,4755
03,Alicante/Alacant,013,Algueña,1527
03,Alicante/Alacant,014,Alicante/Alacant,334678
03,Alicante/Alacant,015,Almoradí,19601
03,Alicante/Alacant,016,Almudaina,129
03,Alicante/Alacant,017,"Alqueria d'Asnar, l'",515
03,Alicante/Alacant,018,Altea,24298
03,Alicante/Alacant,019,Aspe,20309
03,Alicante/Alacant,020,Balones,157
03,Alicante/Alacant,021,Banyeres de Mariola,7222
03,Alicante/Alacant,022,Benasau,174
03,Alicante/Alacant,023,Beneixama,1792
03,Alicante/Alacant,024,Benejúzar,5425
03,Alicante/Alacant,025,Benferri,1934
03,Alicante/Alacant,026,Beniarbeig,1902
03,Alicante/Alacant,027,Beniardá,248
03,Alicante/Alacant,028,Beniarrés,1271
03,Alicante/Alacant,029,Benigembla,583
03,Alicante/Alacant,030,Benidoleig,1315
03,Alicante/Alacant,031,Benidorm,72991
03,Alicante/Alacant,032,Benifallim,110
03,Alicante/Alacant,033,Benifato,202
03,Alicante/Alacant,034,Benijófar,4207
03,Alicante/Alacant,035,Benilloba,800
03,Alicante/Alacant,036,Benillup,106
03,Alicante/Alacant,037,Benimantell,518
03,Alicante/Alacant,038,Benimarfull,417
03,Alicante/Alacant,039,Benimassot,125
03,Alicante/Alacant,040,Benimeli,424
03,Alicante/Alacant,041,Benissa,13808
03,Alicante/Alacant,042,"Benitachell/Poble Nou de Benitatxell, el",5698
03,Alicante/Alacant,043,Biar,3695
03,Alicante/Alacant,044,Bigastro,6719
03,Alicante/Alacant,045,Bolulla,450
03,Alicante/Alacant,046,Busot,3412
03,Alicante/Alacant,047,Calp,29550
03,Alicante/Alacant,048,Callosa d'En Sarrià,7815
03,Alicante/Alacant,049,Callosa de Segura,18034
03,Alicante/Alacant,050,"Campello, el",27709
